"Name","ResourceType","ResourceGroupName","Location","SubscriptionId","Sku","Kind","Tags","ResourceId"
"nsg-nwri-candidate-jpe","Microsoft.Network/networkSecurityGroups","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;createdBy=GitHubCopilotBrowserAutomation","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-candidate-jpe"
"vnet-demo-snet-web-nsg-japaneast","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"env=demo;owner=demo;project=AzureInventoryDemo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/vnet-demo-snet-web-nsg-japaneast"
"vnet-nwri-jpe-snet-workload-nsg-japaneast","Microsoft.Network/networkSecurityGroups","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"createdBy=GitHubCopilotBrowserAutomation;purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/vnet-nwri-jpe-snet-workload-nsg-japaneast"
"vnm-nwri-jpe","Microsoft.Network/networkManagers","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;configurationState=undeployed;createdBy=GitHubCopilot;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkManagers/vnm-nwri-jpe"
"vnet-demo-snet-app-nsg-japaneast","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"owner=demo;project=AzureInventoryDemo;env=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/vnet-demo-snet-app-nsg-japaneast"
"vnet-nwri-jpe-snet-nsg-candidate-nsg-japaneast","Microsoft.Network/networkSecurityGroups","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"createdBy=GitHubCopilotBrowserAutomation;owner=csa;purpose=demo;deleteAfter=2026-07-31;demoTheme=network-watcher-rule-impact","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/vnet-nwri-jpe-snet-nsg-candidate-nsg-japaneast"
"nsg-amig-demo-je-001","Microsoft.Network/networkSecurityGroups","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/networkSecurityGroups/nsg-amig-demo-je-001"
"pip-vm-amig-appl-001","Microsoft.Network/publicIPAddresses","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard",,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/publicIPAddresses/pip-vm-amig-appl-001"
"vnet-amig-demo-je-001","Microsoft.Network/virtualNetworks","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/virtualNetworks/vnet-amig-demo-je-001"
"nic-vm-amig-win-001","Microsoft.Network/networkInterfaces","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/networkInterfaces/nic-vm-amig-win-001"
"nic-vm-amig-ubu-001","Microsoft.Network/networkInterfaces","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/networkInterfaces/nic-vm-amig-ubu-001"
"nic-vm-amig-appl-001","Microsoft.Network/networkInterfaces","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Network/networkInterfaces/nic-vm-amig-appl-001"
"vm-amig-ubu-001","Microsoft.Compute/virtualMachines","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Compute/virtualMachines/vm-amig-ubu-001"
"vm-amig-appl-001","Microsoft.Compute/virtualMachines","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Compute/virtualMachines/vm-amig-appl-001"
"vm-amig-win-001","Microsoft.Compute/virtualMachines","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Compute/virtualMachines/vm-amig-win-001"
